date,species,species_plotting,spps,finclip_id,probe,temp,sal,mass_g,p_atm_smr,p_atm_pcrit,resp_id,resp_vol_mL,alpha,probe_pre_0,probe_pre_100,probe_post_0,probe_post_100,expt_period,time_min,do,po2_torr,umol_o2_per_sec,lc_sel_start,lc_sel_stop,lc_sel_duration_s,notes
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,18.4564,88.2276,141.2731,-0.0124,13:00.0,23:45.0,660,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,43.9597,91.137,145.9318,-0.0099,37:15.0,50:15.0,795,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,71.5969,92.1936,147.6236,-0.0086,06:00.0,16:30.0,645,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,96.8458,93.3151,149.4194,-0.0061,31:00.0,41:45.0,660,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,122.0894,94.0969,150.6712,-0.0052,55:45.0,07:15.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,148.4656,92.4213,147.9882,-0.0084,22:00.0,33:30.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,174.0874,95.1096,152.2929,-0.0047,46:45.0,59:45.0,795,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,201.0958,94.8116,151.8156,-0.0046,14:15.0,26:00.0,720,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,225.9633,95.7779,153.363,-0.0043,38:15.0,51:30.0,810,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,251.7143,96.4623,154.4588,-0.0039,04:30.0,16:30.0,735,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,278.5915,96.2132,154.06,-0.0041,31:30.0,43:00.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,304.3445,96.3495,154.2782,-0.0038,57:00.0,08:45.0,720,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,329.5918,96.5287,154.5652,-0.0032,22:00.0,34:00.0,735,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,356.9734,94.8626,151.8974,-0.0065,49:30.0,01:00.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,382.9733,94.8687,151.907,-0.0044,15:00.0,27:15.0,750,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,408.3458,95.7073,153.2498,-0.0041,39:30.0,53:15.0,840,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,434.471,95.9641,153.6611,-0.0035,06:15.0,18:30.0,750,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,461.3511,95.0915,152.2639,-0.0048,33:45.0,44:30.0,660,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,486.8497,94.9007,151.9584,-0.004,58:45.0,10:15.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,512.8477,95.3481,152.6748,-0.0044,24:15.0,36:30.0,750,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,537.719,95.3408,152.6631,-0.0039,49:00.0,01:15.0,750,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,564.2245,95.5187,152.9479,-0.0036,15:45.0,27:15.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,590.7271,95.5398,152.9817,-0.0035,42:00.0,53:45.0,720,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,617.4796,94.9855,152.0941,-0.0045,09:00.0,20:00.0,675,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,643.7319,94.7694,151.7481,-0.0045,34:45.0,46:30.0,720,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,668.6022,94.9415,152.0236,-0.0045,59:00.0,11:45.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,693.3462,95.4423,152.8256,-0.0042,24:00.0,36:00.0,735,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,719.9821,95.7133,153.2595,-0.0038,50:00.0,03:00.0,795,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,746.6109,95.042,152.1846,-0.0039,17:00.0,29:00.0,735,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,772.3602,95.0893,152.2604,-0.0039,42:15.0,55:00.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,798.2346,94.828,151.842,-0.0041,08:00.0,20:45.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,824.6151,95.0082,152.1304,-0.0041,34:15.0,47:00.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,850.4904,94.0045,150.5234,-0.005,59:45.0,13:00.0,810,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,875.7333,94.2887,150.9784,-0.0043,25:15.0,37:45.0,765,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,900.8621,94.9869,152.0964,-0.0046,52:00.0,01:00.0,555,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,928.6192,94.7894,151.7801,-0.0046,17:45.0,30:30.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,954.2379,95.0567,152.2081,-0.0039,43:00.0,56:15.0,810,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,980.3667,94.785,151.773,-0.0041,09:15.0,22:00.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1006.239,94.4584,151.2501,-0.0044,35:15.0,47:30.0,750,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1032.7418,94.76,151.7331,-0.0045,02:00.0,13:30.0,705,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1057.9911,94.7071,151.6484,-0.0043,25:45.0,40:00.0,870,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1083.7412,94.5166,151.3434,-0.0045,52:15.0,04:45.0,765,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1110.367,94.1379,150.7369,-0.0044,19:00.0,31:00.0,735,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1136.2449,93.5017,149.7182,-0.0054,44:00.0,57:30.0,825,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1162.7486,94.5567,151.4075,-0.0048,11:30.0,22:45.0,690,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1188.6236,94.5474,151.3927,-0.0042,37:00.0,48:45.0,720,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,smr,1213.9994,94.2485,150.9141,-0.0038,01:45.0,14:30.0,780,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1247.7913,96.2432,154.5617,-0.0041,39:15.0,44:15.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1253.0667,94.1233,151.1573,-0.0053,44:30.0,49:30.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1258.3421,92.0624,147.8476,-0.0047,49:45.0,54:45.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1263.6206,89.7073,144.0655,-0.0048,55:00.0,00:00.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1268.8929,87.0561,139.8077,-0.0061,00:15.0,05:15.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1274.1722,84.2081,135.2339,-0.0056,05:30.0,10:30.0,315,
25-Aug-17,Blepsias_cirrhosus,Blepsias cirrhosus,blci,top_tank7_closed-orange-floats,NFB0008,12,35,5,101.9,102.2,A,238.39,1.7206,0,100,0.3,99.3,pcrit,1279.4452,80.8933,129.9105,-0.0062,10:45.0,15:45.0,315,
